"","SITE_ID","NDVI_pt_201801","NDVI_pt_201802","NDVI_pt_201803","NDVI_pt_201804","NDVI_pt_201805","NDVI_pt_201806","NDVI_pt_201807","NDVI_pt_201808","NDVI_pt_201809","NDVI_pt_201810","NDVI_pt_201811","NDVI_pt_201812","NDVI_pt_201901","NDVI_pt_201902","NDVI_pt_201903","NDVI_pt_201904","NDVI_pt_201905","NDVI_pt_201906","NDVI_pt_201907","NDVI_pt_201908","NDVI_pt_201909","NDVI_pt_201910","NDVI_pt_201911","NDVI_pt_201912"
"1","Ambakoana",0.523599982261658,0.585599958896637,0.577600002288818,0.605799973011017,0.593800008296967,0.597699999809265,0.574000000953674,0.547299981117249,0.49329999089241,0.508000016212463,0.481699973344803,0.499699980020523,0.546099960803986,0.629000008106232,0.673799991607666,0.651199996471405,0.626699984073639,0.612299978733063,0.617500007152557,0.580900013446808,0.528999984264374,0.513000011444092,0.505599975585938,0.56029999256134
"2","AngavoBe",0.736199975013733,0.754799962043762,0.785899996757507,0.805899977684021,0.800399959087372,0.793799996376038,0.771499991416931,0.734399974346161,0.707300007343292,0.691299974918365,0.679799973964691,0.676099956035614,0.748799979686737,0.75789999961853,0.819999992847443,0.797699987888336,0.806400001049042,0.80429995059967,0.784699976444244,0.758899986743927,0.729399979114532,0.746599972248077,0.706900000572205,0.734799981117249
"3","AngavoKely",0.619300007820129,0.661799967288971,0.691199958324432,0.689799964427948,0.671199977397919,0.650299966335297,0.623299956321716,0.543299973011017,0.528899967670441,0.508300006389618,0.482499986886978,0.527700006961823,0.600199997425079,0.685099959373474,0.73089998960495,0.731499969959259,0.696900010108948,0.66839998960495,0.632499992847443,0.62720000743866,0.547100007534027,0.5557000041008,0.578999996185303,0.615000009536743
"4","Ankarana_Canyon",0.7810999751091,0.79339998960495,0.803999960422516,0.784500002861023,0.682299971580505,0.636299967765808,0.589100003242493,0.533500015735626,0.51230001449585,0.482899993658066,0.518400013446808,0.704800009727478,0.765500009059906,0.785299956798553,0.786099970340729,0.807199954986572,0.745000004768372,0.664699971675873,0.617799997329712,0.560400009155273,0.519199967384338,0.504199981689453,0.614499986171722,0.737399995326996
"5","Ankarana_Cathedral",0.611599981784821,0.648999989032745,0.62389999628067,0.640399992465973,0.597299993038177,0.550999999046326,0.519800007343292,0.47309997677803,0.42519998550415,0.395799994468689,0.406999975442886,0.583700001239777,0.66949999332428,0.662599980831146,0.716699957847595,0.718800008296967,0.676199972629547,0.612299978733063,0.55919998884201,0.503399968147278,0.457800000905991,0.424799978733063,0.428799986839294,0.573199987411499
"6","Ankarana_Chauves_Souris",0.699699997901917,0.742299973964691,0.742399990558624,0.726499974727631,0.63809996843338,0.585900008678436,0.538199961185455,0.490799993276596,0.451299995183945,0.416799992322922,0.449599981307983,0.661700010299683,0.751199960708618,0.757799983024597,0.763300001621246,0.74399995803833,0.699199974536896,0.619099974632263,0.569700002670288,0.518099963665009,0.457399994134903,0.429899990558624,0.460599988698959,0.640100002288818
"7","Lakato",0.745899975299835,0.750199973583221,0.780499994754791,0.806400001049042,0.814899981021881,0.811699986457825,0.797699987888336,0.757799983024597,0.720999956130981,0.709399998188019,0.701799988746643,0.69650000333786,0.70959997177124,0.773599982261658,0.80239999294281,0.823899984359741,0.814599990844727,0.793500006198883,0.798399984836578,0.768899977207184,0.738200008869171,0.714699983596802,0.693199992179871,0.703700006008148
"8","Mahabo",0.526300013065338,0.592700004577637,0.574099957942963,0.566399991512299,0.500299990177155,0.446999996900558,0.411199986934662,0.375799983739853,0.334299981594086,0.317299991846085,0.315099984407425,0.358500003814697,0.521499991416931,0.596700012683868,0.650299966335297,0.602699995040894,0.522000014781952,0.484399974346161,0.430699974298477,0.384900003671646,0.352200001478195,0.334199994802475,0.348899990320206,0.379299998283386
"9","Mahialambo",0.603100001811981,0.610300004482269,0.643700003623962,0.659099996089935,0.634199976921082,0.634099960327148,0.596300005912781,0.551100015640259,0.519599974155426,0.498499989509583,0.503799974918365,0.556800007820129,0.595200002193451,0.622200012207031,0.652099967002869,0.653899967670441,0.656899988651276,0.624300003051758,0.602499961853027,0.585099995136261,0.521299958229065,0.513000011444092,0.501599967479706,0.510800004005432
"10","Makira",0.822499990463257,0.85479998588562,0.850399971008301,0.867399990558624,0.885800004005432,0.889799952507019,0.873199999332428,0.866999983787537,0.860399961471558,0.841799974441528,0.847899973392487,0.819999992847443,0.822200000286102,0.82559996843338,0.818899989128113,0.875099956989288,0.870399951934814,0.868599951267242,0.819199979305267,0.880400002002716,0.858299970626831,0.842700004577637,0.836699962615967,0.838799953460693
"11","Mangarivotra",0.582599997520447,0.593199968338013,0.641799986362457,0.646200001239777,0.639699995517731,0.650499999523163,0.590499997138977,0.553900003433228,0.521799981594086,0.50330001115799,0.49669998884201,0.546299993991852,0.564300000667572,0.626199960708618,0.647899985313416,0.643400013446808,0.640500009059906,0.639099955558777,0.611199975013733,0.571699976921082,0.524399995803833,0.517700016498566,0.504799962043762,0.528199970722198
"12","Maromizaha",0.780900001525879,0.778799951076508,0.822200000286102,0.842599987983704,0.849900007247925,0.82449996471405,0.812900006771088,0.804399967193604,0.780999958515167,0.785600006580353,0.765500009059906,0.78549998998642,0.7810999751091,0.79749995470047,0.836899995803833,0.831499993801117,0.829099953174591,0.810899972915649,0.797699987888336,0.784900009632111,0.807999968528748,0.793699979782104,0.762999951839447,0.771600008010864
"13","Marotsipohy",0.67059999704361,0.676099956035614,0.712599992752075,0.723499953746796,0.69489997625351,0.688299953937531,0.636699974536896,0.636799991130829,0.590399980545044,0.571999967098236,0.569099962711334,0.58569997549057,0.641099989414215,0.705799996852875,0.762799978256226,0.719500005245209,0.709499955177307,0.673500001430511,0.709800004959106,0.658100008964539,0.610199987888336,0.594399988651276,0.570499956607819,0.605399966239929
"14","Marovitsika",0.652899980545044,0.684899985790253,0.698199987411499,0.711199998855591,0.690199971199036,0.671599984169006,0.634499967098236,0.580399990081787,0.51800000667572,0.492699980735779,0.49099999666214,0.514999985694885,0.593100011348724,0.661199986934662,0.702199995517731,0.734899997711182,0.718699991703033,0.706099987030029,0.681899964809418,0.650699973106384,0.578299999237061,0.547299981117249,0.510699987411499,0.552899956703186
