"","SITE_ID","Temp_pt_201801","Temp_pt_201802","Temp_pt_201803","Temp_pt_201804","Temp_pt_201805","Temp_pt_201806","Temp_pt_201807","Temp_pt_201808","Temp_pt_201809","Temp_pt_201810","Temp_pt_201811","Temp_pt_201812","Temp_pt_201901","Temp_pt_201902","Temp_pt_201903","Temp_pt_201904","Temp_pt_201905","Temp_pt_201906","Temp_pt_201907","Temp_pt_201908","Temp_pt_201909","Temp_pt_201910","Temp_pt_201911","Temp_pt_201912"
"1","Ambakoana",20.175256729126,20.5110416412354,19.8196964263916,18.2822513580322,17.3221378326416,15.2049503326416,13.6446170806885,14.8687686920166,15.7134342193604,17.5701236724854,19.3374881744385,20.3451175689697,20.9407596588135,20.6864566802979,20.7557926177979,19.9407596588135,17.5217227935791,15.4503726959229,14.6863956451416,14.7058353424072,16.3284244537354,18.4815006256104,20.307825088501,20.944055557251
"2","AngavoBe",20.2729434967041,20.5296878814697,19.8855838775635,18.2796268463135,17.4059391021729,15.2683658599854,13.7077884674072,15.0074405670166,15.9152164459229,17.4428043365479,19.2773990631104,20.305871963501,21.0183353424072,20.6211185455322,20.7258853912354,19.973352432251,17.4714603424072,15.4454288482666,14.7434940338135,14.9287967681885,16.3478946685791,18.6882266998291,20.3836307525635,21.077844619751
"3","AngavoKely",18.3720645904541,18.8404788970947,18.0814151763916,16.6373233795166,15.7818546295166,13.5220890045166,11.6692752838135,13.3113040924072,14.4144229888916,16.4639835357666,18.311731338501,19.061731338501,19.0098819732666,19.153528213501,19.1111392974854,18.3674259185791,15.7127323150635,13.4722232818604,12.8762149810791,13.1974430084229,15.3390140533447,17.7801761627197,18.9598636627197,19.3456363677979
"4","Ankarana_Canyon",26.1900577545166,26.9210758209229,26.8938846588135,26.7022953033447,25.9369144439697,24.850061416626,23.8034915924072,23.8591556549072,24.7491703033447,25.652307510376,27.0101871490479,27.6378116607666,26.9999027252197,26.8954410552979,27.547571182251,27.8129215240479,26.3846378326416,25.4000186920166,24.6977787017822,24.696496963501,25.5006351470947,26.7828922271729,27.7512454986572,27.5262393951416
"5","Ankarana_Cathedral",26.1900577545166,26.9210758209229,26.8938846588135,26.7022953033447,25.9369144439697,24.850061416626,23.8034915924072,23.8591556549072,24.7491703033447,25.652307510376,27.0101871490479,27.6378116607666,26.9999027252197,26.8954410552979,27.547571182251,27.8129215240479,26.3846378326416,25.4000186920166,24.6977787017822,24.696496963501,25.5006351470947,26.7828922271729,27.7512454986572,27.5262393951416
"6","Ankarana_Chauves_Souris",25.0726566314697,25.6330509185791,25.4691104888916,24.834680557251,23.8109073638916,22.5897769927979,21.3994693756104,21.7517032623291,22.5501041412354,23.8278141021729,25.377649307251,26.5475101470947,25.7925357818604,25.6973209381104,26.3253421783447,26.1032657623291,24.2273197174072,22.9917240142822,22.3829288482666,22.1212711334229,23.0466556549072,24.4439334869385,25.801721572876,26.5920658111572
"7","Lakato",20.2729434967041,20.5296878814697,19.8855838775635,18.2796268463135,17.4059391021729,15.2683658599854,13.7077884674072,15.0074405670166,15.9152164459229,17.4428043365479,19.2773990631104,20.305871963501,21.0183353424072,20.6211185455322,20.7258853912354,19.973352432251,17.4714603424072,15.4454288482666,14.7434940338135,14.9287967681885,16.3478946685791,18.6882266998291,20.3836307525635,21.077844619751
"8","Mahabo",27.9112491607666,27.3107242584229,28.7176761627197,26.4109134674072,25.2740726470947,23.8100528717041,23.2625064849854,23.982629776001,25.1681461334229,25.0913028717041,27.1881046295166,27.9085636138916,27.4481143951416,27.4955081939697,27.2277164459229,27.1897525787354,25.2081241607666,23.8275699615479,22.6910343170166,24.4041996002197,25.0249576568604,27.7965030670166,28.2838687896729,28.3139896392822
"9","Mahialambo",20.8882389068604,21.1494388580322,20.5638065338135,19.0293827056885,17.8616275787354,15.887170791626,14.374963760376,15.4538516998291,16.3718814849854,18.5223941802979,20.5249271392822,21.4176578521729,21.4987735748291,21.3776187896729,21.4385623931885,20.638147354126,18.2229557037354,16.2097721099854,15.458215713501,15.5010318756104,17.455286026001,19.7588443756104,21.2819766998291,21.732873916626
"10","Makira",21.0497074127197,21.1441898345947,21.1004276275635,19.9363651275635,18.864465713501,17.3462162017822,15.8384037017822,16.3968448638916,17.1739139556885,18.5383243560791,20.0675296783447,21.1078128814697,21.7230777740479,21.6213932037354,21.7618045806885,21.3521976470947,19.2342472076416,17.5051517486572,16.9095706939697,16.6633853912354,17.4930973052979,19.264856338501,20.9159183502197,21.812463760376
"11","Mangarivotra",20.175256729126,20.5110416412354,19.8196964263916,18.2822513580322,17.3221378326416,15.2049503326416,13.6446170806885,14.8687686920166,15.7134342193604,17.5701236724854,19.3374881744385,20.3451175689697,20.9407596588135,20.6864566802979,20.7557926177979,19.9407596588135,17.5217227935791,15.4503726959229,14.6863956451416,14.7058353424072,16.3284244537354,18.4815006256104,20.307825088501,20.944055557251
"12","Maromizaha",23.2903079986572,23.4969120025635,23.0873355865479,21.7301578521729,20.8566226959229,19.1765995025635,17.797815322876,18.8685550689697,19.5020694732666,20.3457584381104,22.2781620025635,23.3913822174072,24.1141300201416,23.6993350982666,23.7920780181885,23.4775638580322,21.0487613677979,19.3841800689697,18.5970706939697,18.7838687896729,19.6689395904541,21.7913150787354,23.2703800201416,24.0143375396729
"13","Marotsipohy",20.175256729126,20.5110416412354,19.8196964263916,18.2822513580322,17.3221378326416,15.2049503326416,13.6446170806885,14.8687686920166,15.7134342193604,17.5701236724854,19.3374881744385,20.3451175689697,20.9407596588135,20.6864566802979,20.7557926177979,19.9407596588135,17.5217227935791,15.4503726959229,14.6863956451416,14.7058353424072,16.3284244537354,18.4815006256104,20.307825088501,20.944055557251
"14","Marovitsika",20.2729434967041,20.5296878814697,19.8855838775635,18.2796268463135,17.4059391021729,15.2683658599854,13.7077884674072,15.0074405670166,15.9152164459229,17.4428043365479,19.2773990631104,20.305871963501,21.0183353424072,20.6211185455322,20.7258853912354,19.973352432251,17.4714603424072,15.4454288482666,14.7434940338135,14.9287967681885,16.3478946685791,18.6882266998291,20.3836307525635,21.077844619751
